,type,title,authors,publish_date,source_records,number_of_pages,publishers,isbn_10,isbn_13,physical_format,full_title,covers,works,key,lc_classifications,local_id,latest_revision,revision,created,last_modified,isbn,identifiers,classifications,description,publish_places,contributions,subjects,languages,pagination,dewey_decimal_class,edition_name,lccn,publish_country,by_statement,oclc_numbers,subtitle,notes,ocaid,weight,physical_dimensions,first_sentence,series,subject_people,table_of_contents,coverimage,genres,copyright_date,ia_box_id,ia_loaded_id,contributors,subject_place,url,uri_descriptions,uris,links,other_titles,work_title,openlibrary,oclc_number,original_isbn,work_titles,subject_time,location
71,{'key': '/type/edition'},Small Gods,[{'key': '/authors/OL25712A'}],January 1994,,272.0,['HarperCollins Publishers'],['0060177500'],['9780060177508'],Hardcover,,,[{'key': '/works/OL453697W'}],/books/OL9230353M,,,7,7,"{'type': '/type/datetime', 'value': '2008-04-30T09:38:13.731961'}","{'type': '/type/datetime', 'value': '2021-07-13T12:50:08.485901'}",9780060177508,"{'goodreads': ['399394'], 'librarything': ['1044999']}",,,,,"['Fantasy', 'Fiction - Fantasy', 'English Science Fiction And Fantasy', 'Fiction', 'Humorous fiction', 'Fantasy - Series', 'Fantastic fiction', 'Discworld (Imaginary place)', 'Fantasy fiction']",[{'key': '/languages/eng'}],,,1st U.S. Ed edition,,,,,A Novel of Discworld,,,1.8 pounds,8.2 x 5.3 x 1.1 inches,"{'type': '/type/text', 'value': 'NOW CONSIDER THE TORTOISE AND the eagle.'}",['Discworld (13)'],,,,,,,,,,,,,,,,,,,,,
72,{'key': '/type/edition'},Lords and Ladies,[{'key': '/authors/OL25712A'}],October 1995,,,['Harpercollins'],['0060177519'],['9780060177515'],,,,[{'key': '/works/OL453787W'}],/books/OL7275646M,,,6,6,"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}","{'type': '/type/datetime', 'value': '2021-08-27T18:19:07.409645'}",9780060177515,{'librarything': ['1045197']},,,,,,[{'key': '/languages/eng'}],,,,,,,,,,,,,"{'type': '/type/text', 'value': 'The wind howled.'}",['Discworld (14)'],,,,,,,,,,,,,,,,,,,,,
73,{'key': '/type/edition'},Fifth Elephant,[{'key': '/authors/OL25712A'}],"May 05, 2000","['amazon:0060196459', 'promise:bwb_daily_pallets_2020-11-13']",,['CORGI BOOKS (TWLD)'],['0060196459'],['9780060196455'],paperback,Fifth Elephant,[10942393],[{'key': '/works/OL453684W'}],/books/OL32318748M,,['urn:bwbsku:KH-858-681'],4,4,"{'type': '/type/datetime', 'value': '2021-05-05T11:08:42.825537'}","{'type': '/type/datetime', 'value': '2023-01-15T15:09:42.633519'}",9780060196455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,{'key': '/type/edition'},Thief of time,[{'key': '/authors/OL25712A'}],2001,"['ia:thiefoftimenovel00prat_0', 'marc:marc_loc_2016/BooksAll.2016.part01.utf8:46564325:727', 'bwb:9780060199562']",324.0,['HarperCollins'],['0060199563'],,,,[23508],[{'key': '/works/OL453686W'}],/books/OL6795375M,"['PR6066.R34 T47 2001', 'PR6066.R34T47 2001']",,10,10,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}","{'type': '/type/datetime', 'value': '2022-07-12T19:29:45.817864'}",9780060199562,"{'librarything': ['1044302'], 'goodreads': ['34522'], 'wikidata': ['Q108597841']}",,,['New York'],,['Discworld (Imaginary place) -- Fiction.'],[{'key': '/languages/eng'}],324 p. ;,['823/.914'],1st ed.,['00065347'],nyu,Terry Pratchett.,,a novel of Discworld,,thiefoftimenovel00prat_0,,,,,,,,['Fiction.'],,,,,,,,,,,,,,,,,
75,{'key': '/type/edition'},Going Postal,[{'key': '/authors/OL25712A'}],"September 27, 2005",,416.0,['HarperTorch'],['0060502932'],['9780060502935'],Mass Market Paperback,,[25898],[{'key': '/works/OL453733W'}],/books/OL9231974M,,,7,7,"{'type': '/type/datetime', 'value': '2008-04-30T09:38:13.731961'}","{'type': '/type/datetime', 'value': '2021-07-09T10:59:46.037843'}",9780060502935,"{'goodreads': ['64222'], 'librarything': ['1045339']}",,,,,"['General', 'Fiction - Fantasy', 'Fiction', 'Fantasy - General', 'Humorous', 'Fiction / General']",[{'key': '/languages/eng'}],,,,,,,,,,,5.6 ounces,6.4 x 4.2 x 1.2 inches,"{'type': '/type/text', 'value': ""THEY SAY that the prospect of being hanged in the morning concentrates a man's mind wonderfully; unfortunately, what the mind inevitably concentrates on is that, in the morning, it will be in a body that is going to be hanged.""}",['Discworld (31)'],,,,,,,,,,,,,,,,,,,,,
76,{'key': '/type/edition'},The Last Hero,"[{'key': '/authors/OL25712A'}, {'key': '/authors/OL2629595A'}]","September 1, 2002","['ia:lastherodiscworl00kidb', 'bwb:9780060507770']",176.0,['Eos'],['0060507772'],['9780060507770'],,,[26158],[{'key': '/works/OL453768W'}],/books/OL7277365M,,,9,9,"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}","{'type': '/type/datetime', 'value': '2022-07-11T21:26:12.015526'}",9780060507770,"{'librarything': ['1044502'], 'goodreads': ['34503']}",,,,,,[{'key': '/languages/eng'}],,,,,,,,A Discworld Fable,,lastherodiscworl00kidb,,,"{'type': '/type/text', 'value': 'The place where the story happened was a world on the back of four elephants perched on the shell of a giant turtle.'}",['Discworld (27)'],,,,,,,,,,,,,,,,,,,,,
77,{'key': '/type/edition'},Only you can save mankind,[{'key': '/authors/OL25712A'}],2005,"['promise:bwb_daily_pallets_2022-07-27:W7-DJH-942', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run03.mrc:112395434:3145', 'marc:marc_loc_2016/BooksAll.2016.part31.utf8:141629016:1100', 'bwb:9780060541866', 'bwb:9780060541859']",207.0,['HarperCollins'],"['0060541857', '0060541865']",,,,"[28525, 28524]",[{'key': '/works/OL453756W'}],/books/OL3290037M,"['PZ7.P8865 On 2005', 'PZ7.P8865On 2005']","['urn:bwbsku:W7-DJH-942', 'urn:sfpl:31223069208057', 'urn:sfpl:31223069208065', 'urn:sfpl:31223069208032', 'urn:sfpl:31223069208149', 'urn:sfpl:31223069208115']",17,17,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}","{'type': '/type/datetime', 'value': '2023-02-09T21:13:49.389505'}",9780060541859,"{'librarything': ['1045574'], 'goodreads': ['607387', '3261027']}",,"{'type': '/type/text', 'value': 'Twelve-year-old Johnny endures tensions between his parents, watches television coverage of the Gulf War, and plays a computer game called Only You Can Save Mankind, in which he is increasingly drawn into the reality of the alien ScreeWee.'}",['New York'],,"['Computer games -- Fiction.', 'War -- Fiction.', 'Conduct of life -- Fiction.']",[{'key': '/languages/eng'}],"xi, 207 p. ;",['[Fic]'],1st ed.,['2004004341'],nyu,by Terry Pratchett.,,,"{'type': '/type/text', 'value': 'Ages 8 up.\nGrs 3 up.'}",,,,,"['The Johnny Maxwell trilogy ;', '1']",,,,['Fiction.'],,,,,,,,,,,,,,,,,
78,{'key': '/type/edition'},Only you can save mankind,[{'key': '/authors/OL25712A'}],2005,"['promise:bwb_daily_pallets_2022-07-27:W7-DJH-942', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run03.mrc:112395434:3145', 'marc:marc_loc_2016/BooksAll.2016.part31.utf8:141629016:1100', 'bwb:9780060541866', 'bwb:9780060541859']",207.0,['HarperCollins'],"['0060541857', '0060541865']",,,,"[28525, 28524]",[{'key': '/works/OL453756W'}],/books/OL3290037M,"['PZ7.P8865 On 2005', 'PZ7.P8865On 2005']","['urn:bwbsku:W7-DJH-942', 'urn:sfpl:31223069208057', 'urn:sfpl:31223069208065', 'urn:sfpl:31223069208032', 'urn:sfpl:31223069208149', 'urn:sfpl:31223069208115']",17,17,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}","{'type': '/type/datetime', 'value': '2023-02-09T21:13:49.389505'}",9780060541866,"{'librarything': ['1045574'], 'goodreads': ['607387', '3261027']}",,"{'type': '/type/text', 'value': 'Twelve-year-old Johnny endures tensions between his parents, watches television coverage of the Gulf War, and plays a computer game called Only You Can Save Mankind, in which he is increasingly drawn into the reality of the alien ScreeWee.'}",['New York'],,"['Computer games -- Fiction.', 'War -- Fiction.', 'Conduct of life -- Fiction.']",[{'key': '/languages/eng'}],"xi, 207 p. ;",['[Fic]'],1st ed.,['2004004341'],nyu,by Terry Pratchett.,,,"{'type': '/type/text', 'value': 'Ages 8 up.\nGrs 3 up.'}",,,,,"['The Johnny Maxwell trilogy ;', '1']",,,,['Fiction.'],,,,,,,,,,,,,,,,,
79,{'key': '/type/edition'},"Only You Can Save Mankind
            
                Johnny Maxwell Trilogy",,2006,['bwb:9780060541873'],,['HarperTrophy'],,['9780060541873'],,,[7685461],[{'key': '/works/OL453756W'}],/books/OL26078848M,,,6,6,"{'type': '/type/datetime', 'value': '2016-10-14T13:33:02.547391'}","{'type': '/type/datetime', 'value': '2021-12-26T13:28:41.909354'}",9780060541873,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,{'key': '/type/edition'},Johnny and the dead,[{'key': '/authors/OL25712A'}],2006,"['marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run03.mrc:157633850:2459', 'marc:marc_loc_2016/BooksAll.2016.part32.utf8:122786741:1067', 'bwb:9780060541897', 'bwb:9780060541880']",,['HarperCollins'],"['0060541881', '006054189X']","['9780060541880', '9780060541897']",,,"[28528, 28527]",[{'key': '/works/OL453760W'}],/books/OL3394227M,"['PZ7.P8865 Joh 2006', 'PZ7.P8865Joh 2006']",['urn:sfpl:31223074428823'],11,11,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}","{'type': '/type/datetime', 'value': '2022-02-28T14:39:38.634853'}",9780060541880,"{'librarything': ['1045375'], 'goodreads': ['34528', '64390']}",,"{'type': '/type/text', 'value': 'After twelve-year-old Johnny Maxwell suddenly starts seeing and talking to ghosts, he and his friends become involved in a battle to save the local cemetery.'}",['New York'],,"['Ghosts -- Fiction.', 'Cemeteries -- Fiction.', 'England -- Fiction.', 'Humorous stories.']",[{'key': '/languages/eng'}],p. cm.,['[Fic]'],,['2005005073'],nyu,Terry Pratchett.,,,,,,,,"['The Johnny Maxwell trilogy ;', '2']",,,,['Fiction.'],,,,,,,,,,,,,,,,,
81,{'key': '/type/edition'},Johnny and the dead,[{'key': '/authors/OL25712A'}],2006,"['marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run03.mrc:157633850:2459', 'marc:marc_loc_2016/BooksAll.2016.part32.utf8:122786741:1067', 'bwb:9780060541897', 'bwb:9780060541880']",,['HarperCollins'],"['0060541881', '006054189X']","['9780060541880', '9780060541897']",,,"[28528, 28527]",[{'key': '/works/OL453760W'}],/books/OL3394227M,"['PZ7.P8865 Joh 2006', 'PZ7.P8865Joh 2006']",['urn:sfpl:31223074428823'],11,11,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}","{'type': '/type/datetime', 'value': '2022-02-28T14:39:38.634853'}",9780060541897,"{'librarything': ['1045375'], 'goodreads': ['34528', '64390']}",,"{'type': '/type/text', 'value': 'After twelve-year-old Johnny Maxwell suddenly starts seeing and talking to ghosts, he and his friends become involved in a battle to save the local cemetery.'}",['New York'],,"['Ghosts -- Fiction.', 'Cemeteries -- Fiction.', 'England -- Fiction.', 'Humorous stories.']",[{'key': '/languages/eng'}],p. cm.,['[Fic]'],,['2005005073'],nyu,Terry Pratchett.,,,,,,,,"['The Johnny Maxwell trilogy ;', '2']",,,,['Fiction.'],,,,,,,,,,,,,,,,,
82,{'key': '/type/edition'},Johnny and the Dead (Johnny Maxwell Trilogy),[{'key': '/authors/OL25712A'}],"April 3, 2007",,224.0,['HarperTrophy'],['0060541903'],['9780060541903'],Paperback,,[28530],[{'key': '/works/OL453760W'}],/books/OL9232972M,,,8,8,"{'type': '/type/datetime', 'value': '2008-04-30T09:38:13.731961'}","{'type': '/type/datetime', 'value': '2021-07-12T18:24:23.152017'}",9780060541903,"{'librarything': ['1045375'], 'goodreads': ['34531']}",,,,,"['Social Issues - Friendship', 'Juvenile Fiction', 'Juvenile Horror / Ghost Stories', ""Children's Books/Ages 9-12 Fiction"", 'Children: Grades 4-6', 'Science Fiction, Fantasy, & Magic', 'Action & Adventure - General', 'Horror & Ghost Stories', 'Juvenile Fiction / Action & Adventure', 'Humorous Stories', 'Cemeteries', 'England', 'Fiction', 'Ghosts']",[{'key': '/languages/eng'}],,,,,,,['122342368'],,,,2.4 ounces,7.5 x 5 x 0.8 inches,,,,,,,,,,,,,,,,,,,,,,,
83,{'key': '/type/edition'},"Johnny and the Bomb (Johnny Maxwell Trilogy, 3.)",[{'key': '/authors/OL25712A'}],"April 3, 2007",['ia:johnnybomb000prat'],256.0,['HarperCollins'],['0060541911'],['9780060541910'],,,[28531],[{'key': '/works/OL453755W'}],/books/OL7278265M,,,10,10,"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}","{'type': '/type/datetime', 'value': '2021-08-27T18:41:14.693432'}",9780060541910,"{'goodreads': ['64385'], 'librarything': ['1044303']}",,,,,,[{'key': '/languages/eng'}],,,,,,,,,,,,,,,,,,,,['IA153301'],['johnnybomb000prat'],,,,,,,,,,,,,,
84,{'key': '/type/edition'},Johnny and the Bomb (Johnny Maxwell Trilogy),[{'key': '/authors/OL25712A'}],"April 3, 2007",,245.0,['HarperCollins'],['006054192X'],['9780060541927'],,,[28533],[{'key': '/works/OL453755W'}],/books/OL7278266M,,,8,8,"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}","{'type': '/type/datetime', 'value': '2021-08-27T18:41:14.693432'}",9780060541927,"{'goodreads': ['1345912'], 'librarything': ['1044303']}",,,,,,[{'key': '/languages/eng'}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,{'key': '/type/edition'},Johnny and the Bomb,[{'key': '/authors/OL25712A'}],"April 1, 2008","['ia:johnnybomb0000prat_v4g8', 'bwb:9780060541934', 'promise:bwb_daily_pallets_2020-04-02']",256.0,['HarperTrophy'],['0060541938'],['9780060541934'],Paperback,,[12487198],[{'key': '/works/OL453755W'}],/books/OL9846432M,['PZ7.P8865 Job 2008'],['urn:bwbsku:O6-AYE-620'],11,11,"{'type': '/type/datetime', 'value': '2008-04-30T09:38:13.731961'}","{'type': '/type/datetime', 'value': '2022-12-10T13:44:45.408196'}",9780060541934,"{'librarything': ['1044303'], 'goodreads': ['1345913']}",,,,,"['Action & Adventure - General', 'Science Fiction, Fantasy, & Magic', 'Social Issues - Friendship', 'Juvenile Fiction / Science Fiction, Fantasy, Magic', 'Juvenile Fiction', ""Children's 9-12 - Fiction - General"", 'Children: Grades 3-4']",[{'key': '/languages/eng'}],,,,,,,['156814916'],,,johnnybomb0000prat_v4g8,,7.6 x 5.1 x 0.5 inches,,,,,,,,,,,,,,,,,,,,,,,
86,{'key': '/type/edition'},The Bromeliad trilogy,[{'key': '/authors/OL25712A'}],2003,"['promise:bwb_daily_pallets_2022-03-17:P7-CSE-201', 'marc:marc_records_scriblio_net/part14.dat:32775563:1071', 'marc:marc_loc_updates/v37.i22.records.utf8:9986958:1189', 'amazon:006054855X', 'marc:marc_loc_2016/BooksAll.2016.part29.utf8:195476919:1189', 'bwb:9780060094935', 'ia:bromeliadtrilogy0000prat', 'bwb:9780060548551', 'promise:bwb_daily_pallets_2021-08-26:O7-DLB-284']",502.0,"['HarperCollins Publishers', 'HarperCollins']","['0060094931', '006054855X']",,,,"[28902, 21882]",[{'key': '/works/OL453886W'}],/books/OL3563827M,"['PZ7.P8865 Br 2003', 'PZ7.P8865Br 2003']","['urn:bwbsku:P7-CSE-201', 'urn:bwbsku:O7-DLB-284']",22,22,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}","{'type': '/type/datetime', 'value': '2023-02-28T12:09:38.975091'}",9780060548551,"{'librarything': ['1044446'], 'goodreads': ['34495', '7032996']}",,"{'type': '/type/text', 'value': 'After generations of existing in the human-sized world, a group of four-inch-high nomes discover their true nature and origin, with the help of a black square called the Thing.'}",['New York'],,"['Science fiction', 'Department stores -- Fiction', 'Quarries and quarrying -- Fiction', 'Computers -- Fiction']",[{'key': '/languages/eng'}],502 p. ;,['[Fic]'],1st U.S. ed.,['2002032944'],nyu,Terry Pratchett.,,,,bromeliadtrilogy0000prat,,,,,,"[{'level': 0, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Truckers'}"", 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Diggers'}"", 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Wings.'}"", 'type': {'key': '/type/toc_item'}}]",,['Fiction.'],,,,,,['http://www.loc.gov/catdir/description/hc041/2002032944.html'],['Publisher description'],['http://www.loc.gov/catdir/description/hc041/2002032944.html'],,,,,,,,,
87,{'key': '/type/edition'},The Wee Free Men,[{'key': '/authors/OL25712A'}],"September 30, 2003",,,"[""HarperChildren's Audio""]",['0060566256'],['9780060566258'],,,[29862],[{'key': '/works/OL453748W'}],/books/OL7278825M,,,8,8,"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}","{'type': '/type/datetime', 'value': '2022-07-12T05:48:22.498251'}",9780060566258,"{'goodreads': ['2792178'], 'librarything': ['1043958']}",,,,['Stephen Briggs (Narrator)'],,[{'key': '/languages/eng'}],,,,,,,,A Story of Discworld,,,,,,['Discworld (29)'],,,,,,,,,,,,,,,,,,,,,
88,{'key': '/type/edition'},Monstrous Regiment,[{'key': '/authors/OL25712A'}],"September 30, 2003",['bwb:9780060569969'],,['HarperAudio'],['0060569964'],['9780060569969'],,,[30064],[{'key': '/works/OL453799W'}],/books/OL7278909M,,,9,9,"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}","{'type': '/type/datetime', 'value': '2022-02-28T13:26:13.092714'}",9780060569969,"{'librarything': ['1044335'], 'goodreads': ['1345914']}",,,,['Stephen Briggs (Narrator)'],,[{'key': '/languages/eng'}],,,,,,,['53140872'],,,,,,,['Discworld (30)'],,,,,,,,,,,,,,,,,,,,,
89,{'key': '/type/edition'},Monstrous Regiment,[{'key': '/authors/OL25712A'}],2003,['bwb:9780060578152'],,['HarperCollins Publishers'],,['9780060578152'],,Monstrous Regiment,,[{'key': '/works/OL27418560W'}],/books/OL37344969M,,,2,2,"{'type': '/type/datetime', 'value': '2022-02-28T12:15:56.029189'}","{'type': '/type/datetime', 'value': '2022-08-26T15:44:50.168864'}",9780060578152,,,,,,"['Discworld (imaginary place), fiction', 'Fiction, war & military', 'Fiction, fantasy, general']",[{'key': '/languages/eng'}],368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,{'key': '/type/edition'},A Hat Full of Sky,[{'key': '/authors/OL25712A'}],2004,"['marc:marc_miami_univ_ohio/allbibs0173.out:3051291:2505', 'marc:marc_loc_updates/v37.i22.records.utf8:10604705:3033', 'ia:hatfullofsky00prat', 'marc:marc_openlibraries_phillipsacademy/PANO_FOR_IA_05072019.mrc:92847708:1452', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run03.mrc:61420718:1847', 'marc:marc_marygrove/marygrovecollegelibrary.full.D20191108.T213022.internetarchive2nd_REPACK.mrc:154821791:4055', 'marc:marc_loc_2016/BooksAll.2016.part30.utf8:173746107:1423', 'bwb:9780060586614', 'bwb:9780060586607', 'marc:marc_nuls/NULS_PHC_180925.mrc:295850647:2648']",278.0,['HarperCollins'],"['0060586613', '0060586605']",,,,[7092840],[{'key': '/works/OL453737W'}],/books/OL15485918M,"['PZ7.P8865 Hat 2004', 'PZ7.P8865Hat 2004']","['urn:phillips:31867001367973', 'urn:sfpl:31223066701286', 'urn:sfpl:31223066701245', 'urn:mgc:31927000894060', 'urn:nuls:31786102249619']",19,19,"{'type': '/type/datetime', 'value': '2008-09-20T04:29:24.530455'}","{'type': '/type/datetime', 'value': '2023-03-08T10:51:39.665738'}",9780060586607,"{'goodreads': ['934161', '596878'], 'librarything': ['1043961']}",{},"Tiffany Aching, a young witch-in-training, learns about magic and responsibility as she battles a disembodied monster with the assistance of the six-inch-high Wee Free Men and Mistress Weatherwax, the greatest witch in the world. Annotation. The Heroine: Tiffany Aching, incipient witch and cheese maker extraordinaire. Once saved world from Queen of the Elves. Is about to discover that battling evil monarchs is child's play compared to mortal combat with a Hiver (see below). At eleven years old, is boldest heroine ever to have confronted the Forces of Darkness while armed with a frying pan. The Threat: A Hiver, insidious disembodied presence drawn to powerful magic. highly dangerous, frequently lethal. Cannot be stopped with iron or fire. Its target: Tiffany Aching (see above). The Nac Mac Feegle: A.k.a. the Wee Free Men. Height: six inches. Color: blue. Famed for drinking, stealing, and fighting. Will attack anything larger than themselves. Members include: Rob Anybody, Daft Wullie, and Awfully Wee Billy Bigchin. Allies to Tiffany Aching (see above). The Book: Hilarious, breathtaking, spine-tingling sequel to the acclaimed Wee Free Men. The Author: Terry Pratchett, celebrated creator of the internationally best-selling Discworld series. Carnegie Medalist and writer extraordinaire",['New York'],,"['Witches -- Fiction', 'Fairies -- Fiction', 'Monsters -- Fiction']",[{'key': '/languages/eng'}],278 p. ;,,1st ed,['2003021443'],nyu,Terry Pratchett,['54005706'],The Continuing Adventures of Tiffany Aching and the Wee Free Men,,hatfullofsky00prat,,,,['Discworld series'],,"[{'level': 0, 'title': 'Leaving', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Two shirts and two noses', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Single-minded lady', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'PLN', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Circle', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Hiver', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Matter of Brian', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Secret land', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Soul and centre', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Late bloomer', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Arthur', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Egress', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Witch trials', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Queen of the bees', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Hat full of sky', 'type': {'key': '/type/toc_item'}}]",,['Fiction'],,['IA173701'],['hatfullofsky00prat'],,,,,,,,,,,,,,
91,{'key': '/type/edition'},A Hat Full of Sky,[{'key': '/authors/OL25712A'}],2004,"['marc:marc_miami_univ_ohio/allbibs0173.out:3051291:2505', 'marc:marc_loc_updates/v37.i22.records.utf8:10604705:3033', 'ia:hatfullofsky00prat', 'marc:marc_openlibraries_phillipsacademy/PANO_FOR_IA_05072019.mrc:92847708:1452', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run03.mrc:61420718:1847', 'marc:marc_marygrove/marygrovecollegelibrary.full.D20191108.T213022.internetarchive2nd_REPACK.mrc:154821791:4055', 'marc:marc_loc_2016/BooksAll.2016.part30.utf8:173746107:1423', 'bwb:9780060586614', 'bwb:9780060586607', 'marc:marc_nuls/NULS_PHC_180925.mrc:295850647:2648']",278.0,['HarperCollins'],"['0060586613', '0060586605']",,,,[7092840],[{'key': '/works/OL453737W'}],/books/OL15485918M,"['PZ7.P8865 Hat 2004', 'PZ7.P8865Hat 2004']","['urn:phillips:31867001367973', 'urn:sfpl:31223066701286', 'urn:sfpl:31223066701245', 'urn:mgc:31927000894060', 'urn:nuls:31786102249619']",19,19,"{'type': '/type/datetime', 'value': '2008-09-20T04:29:24.530455'}","{'type': '/type/datetime', 'value': '2023-03-08T10:51:39.665738'}",9780060586614,"{'goodreads': ['934161', '596878'], 'librarything': ['1043961']}",{},"Tiffany Aching, a young witch-in-training, learns about magic and responsibility as she battles a disembodied monster with the assistance of the six-inch-high Wee Free Men and Mistress Weatherwax, the greatest witch in the world. Annotation. The Heroine: Tiffany Aching, incipient witch and cheese maker extraordinaire. Once saved world from Queen of the Elves. Is about to discover that battling evil monarchs is child's play compared to mortal combat with a Hiver (see below). At eleven years old, is boldest heroine ever to have confronted the Forces of Darkness while armed with a frying pan. The Threat: A Hiver, insidious disembodied presence drawn to powerful magic. highly dangerous, frequently lethal. Cannot be stopped with iron or fire. Its target: Tiffany Aching (see above). The Nac Mac Feegle: A.k.a. the Wee Free Men. Height: six inches. Color: blue. Famed for drinking, stealing, and fighting. Will attack anything larger than themselves. Members include: Rob Anybody, Daft Wullie, and Awfully Wee Billy Bigchin. Allies to Tiffany Aching (see above). The Book: Hilarious, breathtaking, spine-tingling sequel to the acclaimed Wee Free Men. The Author: Terry Pratchett, celebrated creator of the internationally best-selling Discworld series. Carnegie Medalist and writer extraordinaire",['New York'],,"['Witches -- Fiction', 'Fairies -- Fiction', 'Monsters -- Fiction']",[{'key': '/languages/eng'}],278 p. ;,,1st ed,['2003021443'],nyu,Terry Pratchett,['54005706'],The Continuing Adventures of Tiffany Aching and the Wee Free Men,,hatfullofsky00prat,,,,['Discworld series'],,"[{'level': 0, 'title': 'Leaving', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Two shirts and two noses', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Single-minded lady', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'PLN', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Circle', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Hiver', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Matter of Brian', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Secret land', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Soul and centre', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Late bloomer', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Arthur', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Egress', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Witch trials', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Queen of the bees', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Hat full of sky', 'type': {'key': '/type/toc_item'}}]",,['Fiction'],,['IA173701'],['hatfullofsky00prat'],,,,,,,,,,,,,,
